type,description
#TBT,Poste uma foto do início do seu negócio.
AGRADEÇA,"Agradeça a algum mentor, líder ou projeto que passou."
AGRADEÇA,Agradeça a um mentor ou um amigo e diga porque ele ajuda você e como
AGRADEÇA,Agradeça seus clientes e parceiros.
AGRADEÇA,Compartilhe algo interessante sobre a sua vida pessoal e mostre gratidão
AGRADEÇA,Compartilhe um desafio que você teve na vida e fale do aprendizado
AGRADEÇA,Marque um amigo ou mentor e diga como ele te ajudou/ajuda
AGRADEÇA,Mencione um desafio importante na sua vida e se mostre grato ao momento
APOIO AO PEQUENO NEGÓCIO,Comente sobre como sua audiência pode apoiar o seu ou outros negócios.
APRENDIZADO PELO FRACASSO,Diga uma coisa que você aprendeu pelo erro
BASTIDORES,Mostre os bastidores da sua empresa.
BENEFÍCIO DE USAR SEU PRODUTO,Fale quais os benefícios de usar seu produto / serviço
CASO DE SUCESSO,"Apresente um cliente como um caso de sucesso. Use depoimento em texto, print de whatsapp ou vídeos (esse é top)"
CLIENTES,Mostre um de seus clientes mais fiéis.
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E GOSTOU,"Compartilhe um artigo, uma matéria, curso que seja útil para a sua audiência e que você comprove que é bom"
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E TE AJUDOU,Compartilhe algo que te ajudou recentemente
COMAPARTILHE ALGO QUE VOCÊ CONSUMIU E TE AJUDOU,Escreva sobre um serviço ou ferramenta que te ajudou e indique
COMO FUNCIONA SUA EMPRESA,Fale um pouco dos procedimentos por trás da sua empresa
COMPARTILHE ALGO QUE TE AJUDOU,Mencione algo recente que ajudou você a melhorar negócio e vida
COMPARTILHE APRENDIZADO,Compartilhe algo que você leu e que vai ser bom pra sua audiência também
COMPARTILHE UM FATO INTERESSANTE SOBRE VOCÊ,Lembre de um momento que foi chave em uma mudança importante pra você
COMPARTILHE UM FILME OU LIVRO,Compartilhe o comente o insight do livro/filme
COMPARTILHE UM FILME OU LIVRO,Indique um livro/filme legal para a sua audiência
COMPARTILHE UM VÍDEO ÚTIL,Poste e comente sobre um vídeo que você viu e que vai agregar valor para audiência
COMPARTILHE VALOR,Compartilhe um vídeo que vá resolver alguma dor da sua audiência
COMPARTILHE VALOR,"Indique um artigo que vai ajduar a sua audiência em algo, por menor que seja"
COMPARTILHE VALOR,Reposte um artigo/matéria/blog/perfil que vá ajudar a sua audiência em algo
COMPARTILHE VERDADES,Compartilhe o seu livro ou filme favorito e explique o motivo/história
COTIDIANO DE SUA EMPRESA,Fotografe um momento do cotidiano de sua empresa
CURIOSIDADE,"Busque em pesquisas e blogs, alguma curiosidade que o seu público vá se impressionar ao saber. Peça para comentarem."
CURIOSIDADE,Faça perguntas sobre quais os sonhos da sua audiência.
CURIOSIDADES,Comente alguma curiosidade sobre você.
CURIOSIDADES,Conte 5 curiosidades sobre você ou o seu negócio.
CURIOSIDADES,Conte sobre algo curioso que já vivenciou no seu negócio
CURIOSIDADES,Post mostrando como é feito os produtos/como é embalado.
CURIOSIDADES,Post mostrando como eu desenvolvo
DESAFIOS DO SEU NEGÓCIO,Fale de algum desafio que você encarou ou encara dentro da sua empresa e como superou ou está superando
DICA,Dê uma dica de como usar seu produto/serviço
DICAS,Dicas de apps que te ajuda profissionalmente.
DICAS,Indique um filme que possa interessar a sua audiência
DICAS,Indique um livro que tenha a ver com a sua audiência
DICAS PARA SUA AUDIÊNCIA,Dê dicas para sua audiência sobre coisas que envolvam o seu produto
ENGAJAMENTO,"Interaja com sua audiência e pergunte, por exemplo, o que irão fazer no fim de semana."
ENGAJAMENTO,Questione o que seus clientes gostariam de ver mais no seu feed
ERROS MAIS COMUNS,Apresente erros mais comuns no seu segmento e peça os comentários no feed
EXPECTATIVA X REALIDADE DA SUA PROFISSÃO,Fale uma coisa que as pessoas pensam errado na sua profissão e mostre o que acontece de verdade
FALE SOBRE SEUS VALORES,Converse com seu público sobre os valores de sua empresa
FAQ,Responda as perguntas que mais recebe dos clientes.
FEEDBACK,Post com o feedback dos clientes.
FOTO,Mostre uma peça/produto novo.
GRATIDÃO,Agradeça alguém que te ajude/ajudou e marque ela/ele.
GRATIDÃO,Agradeça seus clientes e parceiros
HISTÓRIA,Conte como escolheu o nome da sua empresa/marca
HISTÓRIA,Conte como nasceu a sua marca.
HISTÓRIA DE SUCESSO,Conte um momento de sucesso de sua carreira
INDIQUE,Indique o seu livro favorito ou recentemente lido
INDIQUE,Indique uma fonte de conteúdo que você usa e diga o motivo
INDIQUE ALGO ÚTIL PARA A SUA AUDIÊNCIA,Compartilhe um vídeo que seja útil e gere valor para sua audiência
INDIQUE ALGO ÚTIL PARA A SUA AUDIÊNCIA,Escreva sobre alguma ferramenta ou serviço útil para a sua audiência
INDIQUE ALGO ÚTIL PARA A SUA AUDIÊNCIA,Indique uma leitura recente que você curtiu
INDIQUE ALGO ÚTIL QUE VOCÊ APRENDEU,"Um artigo de blog, uma matéria sobre um tema específico que você gostou e que seja útil pra audiência"
INDIQUE UM LIVRO/FILME,Escreva sobre um livro/filme que a sua audiência vá gostar
INDIQUE UMA FONTE DE CONTEÚDO PARA A SUA AUDIÊNCIA,Escreva sobre uma fonte de conhecimento útil para o seu nicho
INSPIRAÇÃO,Frase motivacional para iniciar a semana bem.
INSPIRAÇÃO,Poste algo que te inspira.
LEMBRE AS PESSOAS SOBRE O SEU PRODUTO/SERVIÇO,Poste um vídeo ou uma foto mostrando seu produto/serviço
LISTE 3 COISAS,Liste 3 coisas que a sua audiência precisa saber sobre o seu mercado
MARQUE O PERFIL DO SEU MENTOR,Mencione o perfil do seu mentor e comente algo que gere valor
MARQUE O PERFIL QUE ADMIRA,Mencione o perfil e comente o motivo
MARQUE UM PERFIL,Mencione um perfil que você admira e diga o motivo
ME PERGUNTE ALGO,Pergunte se os seguidores tem dúvidas específicas que você possa ajudar
MENCIONE UM PERFIL QUE VOCÊ ADMIRA,Mencione um perfil que você admire e diga o motivo
MENSAGEM,Deixe uma mensagem de incentivo para os seus seguidores
MENSAGEM,Mensagem para iniciar o mês
MOMENTOS ANTIGOS SEUS,Poste um vídeo ou uma foto com viagens ou momentos antigos seus
MOMENTOS ÚNICOS,Compartilhe momentos de virada de chave na sua vida e detalhe isso
MOSTRE GRATIDÃO,Compartilhe algo na sua vida que demonstre gratidão
MOSTRE UM INFOGRÁFICO,Poste um infográfico com dados e análises de fatos importantes pra sua audiência
NOVIDADES,Compartilhe uma foto ou um vídeo das novidades que você irá trazer para o seu negócio.
NOVIDADES,Conte alguma novidade que trará para o seu negócio.
O MELHOR APP DA SEMANA,Comente um sobre um APP que possa interessar a sua audiência
OFERTA,Foto do seu Produto/serviço mais uma oferta.
PEÇA INDICAÇÃO DE AMIGOS INTERESSADOS,Peça para os seguidores marcarem os amigos que precisam dos seus serviços
PERGUNTA DE ENGAJAMENTO,Clique e Escolha uma pergunta nessa lista
PERGUNTA DE ENGAJAMENTO,Faça uma pergunta sobre uma composição com seu produto
PERGUNTA DE ENGAJAMENTO,Interaja e faça perguntas do tipo: Isso ou Aquilo?
PERGUNTA DE ENGAJAMENTO,"Interaja com seu público, faça perguntas como ""o que irão fazer no fim de semana?"""
PERGUNTA DE ENGAJAMENTO,Pergunte como serão as próximas semanas dos seus clientes.
POST DE HUMOR,"Poste algo divertido, pode ser um meme ou frase que tenha haver com o seu nicho."
PREPARAÇÃO VIRAL,Comece a pensar em um material rico para ajudar a sua audiência
PROMOVA O SEU PRODUTO/SERVIÇO,Poste um vídeo ou uma foto promovendo o seu produto/serviço.
PROMOVA O SEU PRODUTO/SERVIÇO,Poste um vídeo ou uma foto sobre o seu produto/serviço
PROMOVA UMA OFERTA SUA,Compartilhe conteúdos seus em outros canais/redes sociais
PROMOVA UMA OFERTA SUA,Faça um vídeo com detalhes sobre o que você vende
PROMOVA UMA OFERTA SUA,Mencione e lembre de ofertas que tenha no momento
PROMOVA UMA OFERTA SUA,Poste fotos ou vídeos mostrando o seu produto/serviço.
PROMOVA UMA OFERTA SUA,Poste um vídeo ou uma foto falando dos seus serviços
QUEBRE CRENÇAS,Compartilhe uma crença que você quebrou depois que aprendeu algo
"REPOST DE ALUNO, MENTOR, PERFIL QUE VOCÊ ADMIRA","Reposte algum conteúdo de amigo, influencer e marque eles."
REPOSTE,"Reposte um artifo, post ou vídeo que ajude a sua audiência"
REPOSTE ALGO ÚTIL,Repost um post ou perfil que te ensinou algo nos últimos dias e que seja útil pra audiência
RESPOSTE ALGO ÚTIL,"Reposta um artigo, post ou video que a sua audiência se identifique"
ROTINA,Faça um vídeo mostrando um pouco da sua rotina na empresa
SELFIE E UMA MENSAGEM LEGAL,Faça uma selfie em algum lugar e faça conexão com o momento
SELFIE+MENSAGEM,Poste uma selfie e uma mensagem de motivação.
SEU CLIENTE COM SEU PRODUTO,Poste uma foto do seu cliente com o seu produto / serviço
TENDÊNCIA PARA O SEU NICHO,Compartilhe uma novidade ou tendência em seu nicho
TENDÊNCIAS DO SEU NICHO,Explique uma tendência par ao seu nicho ou mudança relevante
TUTORIAL COM DICAS E TRUQUES,"Faça um tutorial, em carrossel ou vídeo, da melhor maneira de usar o seu produto/serviço"
VALORES,Conte quais são os valores da sua empresa/negócio.
VANTAGENS,Benefícios de usar o seu produto/serviço
VOCÊ DE VERDADE,Compartilhe uma experiência incrível na sua vida
VOCÊ E O SEU HOBBY OU PARTE DO DIA A DIA,Compartilhe um momento seu fora do ambiente profissional. Hobby ou tarefas aleatórias.
VOCÊ E O SEU HOBBY OU PARTE DO DIA A DIA,Compartilhe uma experiência pessoal incrível sua
VOCÊ PREFERE: X OU Y?,Crie perguntas onde a audiência tenha que escolher uma opção entre duas que você mostrou
VOCÊ REAL,Compartilhe algo que te irrita ou te incomoda e dê soluções para contornar isso
VOCÊ REAL,Compartilhe fotos de sua família e amigos
VOCÊ REAL,Compartilhe fotos e videos com seus amigos
VOCÊ REAL,Compartilhe um momento especial para você no passado
VOCÊ REAL,"Compartilhe uma foto ou um vídeo da sua família, amigos."
VOCÊ REAL,Compartilhe uma foto ou um vídeo da sua história
VOCÊ REAL,Compartilhe uma foto ou um vídeo de um hobby seu
VOCÊ REAL,Compartilhe uma foto ou um vídeo com a sua família
"VOCÊ, O SEU HOBBY OU PARTE DO DIA A DIA",Compartilhe momentos em família e com amigos
"VOCÊ, O SEU HOBBY OU PARTE DO DIA A DIA",Foto ou vídeo seu fazendo algo fora do seu trabalho